sample,ENSG00000157150.4,ENSG00000139618.14,ENSG00000133687.15,ENSG00000082175.14,ENSG00000012048.19,ENSG00000140009.18,ENSG00000196569.11,ENSG00000091831.21,ENSG00000107485.15,ENSG00000141736.13
TCGA-BH-A0H0-01,1.9638,1.8840,3.5584,-1.9942,3.2647,-2.7274,0.8961,6.6817,8.4552,6.6475
TCGA-LL-A5YO-01,-3.6259,1.3397,-0.8084,-3.8160,0.7832,-1.7322,0.8883,-1.2142,4.7608,5.8428
TCGA-AN-A0FW-01,2.2299,0.3573,1.0433,2.5585,0.9493,-3.3076,1.8643,7.3915,7.3152,5.0414
TCGA-AC-A6IX-01,3.5086,0.0014,1.3623,-0.9686,1.1447,-2.7274,3.2692,5.5623,7.6546,6.1709
TCGA-E2-A1B0-01,-1.3548,1.8524,0.8327,-1.7809,2.7357,-2.5479,1.5165,-1.8836,2.8076,10.5004
TCGA-BH-A1FU-11,4.3730,-0.5125,4.3737,4.6776,1.2815,-0.9132,3.7898,4.4745,6.0279,6.2978
TCGA-E2-A156-01,-0.9132,0.6880,0.2277,6.2225,2.6895,-3.6259,-1.6850,8.5496,8.5427,7.1686
TCGA-D8-A1JP-01,-3.3076,0.3573,0.7058,-0.5756,2.8760,-3.0469,2.0535,7.7818,7.6090,5.7957
TCGA-C8-A12K-01,-1.9942,2.6533,-0.9406,-3.8160,2.8117,-2.3147,-1.5105,2.5924,3.9589,4.3406
TCGA-AR-A2LE-01,4.2181,-0.1828,3.2662,3.7127,1.9073,-4.0350,1.2756,7.0434,7.9615,6.5525
TCGA-BH-A0HK-01,6.7335,0.5170,2.0004,-3.6259,1.3791,-3.6259,2.9262,6.2417,8.4335,6.3009
TCGA-AC-A7VC-01,1.3567,-0.6643,0.5370,-2.5479,2.1702,-6.5064,0.9789,-1.9942,0.4865,3.6219
TCGA-AR-A250-01,-4.0350,1.0151,0.7493,-1.6394,2.8760,-3.6259,1.9264,7.0562,7.6829,9.4031
TCGA-D8-A1JG-01,-4.2934,1.0779,-0.2328,1.4228,2.1114,-2.1779,1.9859,-0.3383,4.0109,8.1890
TCGA-C8-A134-01,-2.3884,3.0393,0.0158,-3.1714,-0.7108,-4.0350,-0.3022,-0.7346,4.5142,5.2169
TCGA-AN-A0FX-01,0.1648,0.9191,0.3231,-0.5973,0.9493,-3.4580,1.3225,1.2023,4.2510,5.8645
TCGA-A8-A0AB-01,-0.3752,-0.0725,-0.5125,3.7160,3.6195,-5.0116,1.4335,7.9394,8.5389,7.5618
TCGA-GM-A3XN-01,3.3003,-0.3201,1.4335,4.0445,1.1117,-1.8836,3.3856,4.0037,7.7454,6.0315
TCGA-C8-A275-01,-1.9379,2.8779,2.5213,-3.3076,1.9340,-2.3147,1.0007,-0.1345,6.7542,11.0674
TCGA-BH-A1F8-01,0.6699,1.5316,1.0642,-0.9406,3.0893,-3.6259,1.5950,8.0240,7.4958,5.9284
TCGA-D8-A1JK-01,-3.4580,0.5763,-1.0862,-0.3752,2.4492,-2.5479,1.0503,-0.3566,2.5924,5.6499
TCGA-A2-A0YJ-01,-6.5064,1.7229,-1.7322,-4.2934,2.2452,-2.5479,2.1345,-2.6349,-0.1187,9.1842
TCGA-A8-A08X-01,-5.0116,3.0740,-0.6416,-2.4659,2.4831,-1.3183,0.4552,0.0300,3.6714,10.5117
TCGA-AR-A2LN-01,3.7345,-1.5951,2.8916,1.0007,1.2147,-0.7834,3.7646,5.1107,8.1392,6.3968
TCGA-E9-A1R6-01,-0.2159,-0.3940,-0.4131,4.4523,3.2617,-4.6082,0.4016,8.2995,8.5342,7.4704
TCGA-AO-A0J4-01,-1.3548,2.1509,1.0151,-3.6259,-0.2159,-3.4580,0.4340,-1.7809,2.3423,5.5066
TCGA-A8-A09A-01,-0.2845,0.4865,1.8801,0.4447,2.3077,-3.8160,3.1145,6.3930,7.5279,7.8963
TCGA-A8-A08O-01,0.9191,0.7058,0.9862,3.8561,2.8482,-3.4580,2.6693,5.6144,8.1849,7.2304
TCGA-A2-A4RY-01,1.9859,-0.5125,2.9071,3.7603,1.1117,-2.3147,3.8591,3.8269,6.7874,7.0662
TCGA-A2-A0SY-01,2.2960,0.3231,1.0642,3.7367,1.4600,-2.9324,3.2127,6.2659,7.7427,8.0915
TCGA-AC-A8OP-01,2.0638,-0.5543,0.8488,-1.7809,1.5415,-3.4580,2.2206,7.2892,9.0251,7.1242
